YB,YB_long,YB_lat,8umphotom,12umphotom,24umphotom,70umphotom,8flag1,12flag1,24flag1,70flag1
ID Number,degree,degree,Jy,Jy,Jy,Jy,Saturated,Saturated,Saturated,Saturated
1352,33.417426,0.036831807,1.55358,0.36857,0.3915,17.29636,0,0,0,0
1353,33.41770227,-0.003988034,1.62592,1.89843,11.52785,106.95679,0,0,0,0
1354,33.42551162,-0.012803771,0.74003,0.13422,2.48199,49.46548,0,0,0,0
1355,33.47019198,-0.086558903,0.79001,0.33349,0.96233,17.07576,0,0,0,0
1356,33.47897659,-0.116917155,0.13639,0.06377,0.07443,2.3903,0,0,0,0
1357,33.48254203,-0.209991282,0.3094,0.09014,0.3951,10.02874,0,0,0,0
1358,33.48872632,0.152181224,0.24446,0.10088,0.12862,4.19859,0,0,0,0
1359,33.49185752,0.158740845,0.13252,0.02834,0.23345,3.31249,0,0,0,0
1360,33.49647418,-0.013199475,0.96494,0.27157,4.12737,65.12577,0,0,0,0
1361,33.51814962,-0.056726208,0.17676,0.05747,0.91378,24.78128,0,0,0,0
1362,33.51890443,0.149935141,0.03478,0.026,0.06952,0.57978,0,0,0,0
1363,33.53008704,-0.118568978,0.25895,0.10789,0.27594,7.90975,0,0,0,0
1364,33.53422353,-0.109334218,2.90507,1.52165,3.30508,66.20599,0,0,0,0
1365,33.55462905,-0.162906918,0.16806,0.07697,0.18414,3.41797,0,0,0,0
1366,33.5900361,0.22577603,0.05685,0.04673,0.08681,1.50167,0,0,0,0
1367,33.61149477,0.083306432,0.23505,0.09913,0.26883,13.45967,0,0,0,0
1368,33.62918117,-0.017654574,1.93952,0.6364,2.74864,31.70799,0,0,0,0
1369,33.6336327,-0.020999843,0.65323,0.10832,1.1934,7.50663,0,0,0,0
1370,33.63799244,-0.035673578,0.37348,0.21375,1.02584,3.53486,0,0,0,0
1371,33.64260408,-0.227646176,1.66482,0.86047,5.40115,196.37692,0,0,0,0
1372,33.64570723,-0.312531889,0.09645,0.03869,0.02638,2.19002,0,0,0,0
1373,33.64983037,-0.025827063,1.68605,0.54615,,65.84555,0,0,1,0
1374,33.65373451,-0.017637616,2.71248,1.31196,,139.10564,0,0,1,0
